"formulaId","molecularFormula","adduct","rank.x","siriusScoreNormalized","siriusScore","isotopeScore","treeScore","xcms_fts","inchiKey","smiles","structureName","xlogP","rank.y","csiScore","tanimotoSimilarity","mcesDistToTopHit","sirius_fts","rank"
"844251912890834601","C17H19N3O3S","[M + H]+",1,0.971274457554907,101.05098138103,5.49346281847337,95.5575185625568,"1","RSMGOJOYNVIKHB","COC1=C(C(=C(C=C1)C=NNC(=S)NC2=CC=CC=C2)OC)OC","1-Phenyl-3-[(2,3,4-trimethoxyphenyl)methylideneamino]thiourea",3.1,13,-647.274604779177,0.205882352941176,NA,"844251885074210399",NA
"844251912890834601","C17H19N3O3S","[M + H]+",1,0.971274457554907,101.05098138103,5.49346281847337,95.5575185625568,"1","FUYKCLPJJPJJTN","COC1=CC(=C(C=C1C=NNC(=S)NC2=CC=CC=C2)OC)OC","(Phenylcarbamothioylamino)-[(2,4,5-trimethoxyphenyl)methylidene]azanium",3.1,14,-654.55490881155,0.207920792079208,NA,"844251885074210399",NA
"844251912890834601","C17H19N3O3S","[M + H]+",1,0.971274457554907,101.05098138103,5.49346281847337,95.5575185625568,"1","YPHDMWLZRDJBET","CC(=O)N1CCC2=CC=CC=C2C1C3=C(N(C(=S)N(C3=O)C)C)O","5-(2-acetyl-1,2,3,4-tetrahydroisoquinolin-1-yl)-6-hydroxy-1,3-dimethyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidin-4-one",0.9,15,-676.160201404721,0.170305676855895,NA,"844251885074210399",NA
"844251912890834602","C14H20FN3O4S","[M + H]+",2,0.0287255011427165,97.5301575679459,5.48344505601751,92.0467125119284,"1",NA,NA,NA,NA,NA,NA,NA,NA,"844251885074210399",NA
"844251912890834603","C12H19N5O5S","[M + H]+",3,3.79443891192446e-08,83.9929833837929,3.05359611790969,80.9393872658832,"1",NA,NA,NA,NA,NA,NA,NA,NA,"844251885074210399",NA
"844251912890834604","C14H16F3N4O3","[M + H]+",4,1.84929806793313e-09,80.9716678845297,1.79204292888141,79.1796249556483,"1",NA,NA,NA,NA,NA,NA,NA,NA,"844251885074210399",NA
"844251912890834605","C14H21N2O6S","[M + H]+",5,1.50689312683052e-09,80.7669117394771,4.87355153898677,75.8933602004904,"1",NA,NA,NA,NA,NA,NA,NA,NA,"844251885074210399",NA
"844251912890834606","C16H19N3O4Si","[M + H]+",6,9.12907106189332e-13,73.3579853119463,2.41379109657135,70.9441942153749,"1",NA,NA,NA,NA,NA,NA,NA,NA,"844251885074210399",NA
"844251912890834607","C13H20FN3O5Si","[M + H]+",7,4.41211211972009e-13,72.6308748817174,4.50679338591931,68.1240814957981,"1",NA,NA,NA,NA,NA,NA,NA,NA,"844251885074210399",NA
"844251912890834608","C14H17F2N3O5","[M + H]+",8,2.04484489157505e-13,71.8618433071788,3.21715090543735,68.6446924017414,"1",NA,NA,NA,NA,NA,NA,NA,NA,"844251885074210399",NA
"844251912890834609","C15H13F2N7O","[M + H]+",9,6.70549152822546e-14,70.7468630969683,3.13206221793634,67.614800879032,"1",NA,NA,NA,NA,NA,NA,NA,NA,"844251885074210399",NA
"844251912890834610","C11H18F3N3O6","[M + H]+",10,5.62150772645459e-14,70.570536181861,1.80486290946084,68.7656732724001,"1",NA,NA,NA,NA,NA,NA,NA,NA,"844251885074210399",NA
"844251922634202813","C14H21N2O6S","[M + H]+",1,0.994726369422044,123.997772912773,4.8320926925846,119.165680220189,"2",NA,NA,NA,NA,NA,NA,NA,NA,"844251885107764832",NA
"844251922634202814","C14H20FN3O4S","[M + H]+",2,0.00454631146583392,118.609621456387,5.27313318876425,113.336488267623,"2",NA,NA,NA,NA,NA,NA,NA,NA,"844251885107764832",NA
