Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
B-11	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-11	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-11	FILES/RAW_FILES/neg/B-11.raw	Data transformation	B-11	FILES/DERIVED_FILES/neg/B-11.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-12	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-12	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-12	FILES/RAW_FILES/neg/B-12.raw	Data transformation	B-12	FILES/DERIVED_FILES/neg/B-12.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-13	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-13	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-13	FILES/RAW_FILES/neg/B-13.raw	Data transformation	B-13	FILES/DERIVED_FILES/neg/B-13.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-14	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-14	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-14	FILES/RAW_FILES/neg/B-14.raw	Data transformation	B-14	FILES/DERIVED_FILES/neg/B-14.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-15	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-15	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-15	FILES/RAW_FILES/neg/B-15.raw	Data transformation	B-15	FILES/DERIVED_FILES/neg/B-15.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-16	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-16	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-16	FILES/RAW_FILES/neg/B-16.raw	Data transformation	B-16	FILES/DERIVED_FILES/neg/B-16.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-17	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-17	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-17	FILES/RAW_FILES/neg/B-17.raw	Data transformation	B-17	FILES/DERIVED_FILES/neg/B-17.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-18	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-18	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-18	FILES/RAW_FILES/neg/B-18.raw	Data transformation	B-18	FILES/DERIVED_FILES/neg/B-18.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-19	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-19	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-19	FILES/RAW_FILES/neg/B-19.raw	Data transformation	B-19	FILES/DERIVED_FILES/neg/B-19.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-20	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-20	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-20	FILES/RAW_FILES/neg/B-20.raw	Data transformation	B-20	FILES/DERIVED_FILES/neg/B-20.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-21	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-21	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-21	FILES/RAW_FILES/neg/B-21.raw	Data transformation	B-21	FILES/DERIVED_FILES/neg/B-21.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-22	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-22	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-22	FILES/RAW_FILES/neg/B-22.raw	Data transformation	B-22	FILES/DERIVED_FILES/neg/B-22.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-23	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-23	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-23	FILES/RAW_FILES/neg/B-23.raw	Data transformation	B-23	FILES/DERIVED_FILES/neg/B-23.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-24	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-24	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-24	FILES/RAW_FILES/neg/B-24.raw	Data transformation	B-24	FILES/DERIVED_FILES/neg/B-24.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-25	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-25	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-25	FILES/RAW_FILES/neg/B-25.raw	Data transformation	B-25	FILES/DERIVED_FILES/neg/B-25.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-26	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-26	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-26	FILES/RAW_FILES/neg/B-26.raw	Data transformation	B-26	FILES/DERIVED_FILES/neg/B-26.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-27	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-27	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-27	FILES/RAW_FILES/neg/B-27.raw	Data transformation	B-27	FILES/DERIVED_FILES/neg/B-27.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-28	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-28	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-28	FILES/RAW_FILES/neg/B-28.raw	Data transformation	B-28	FILES/DERIVED_FILES/neg/B-28.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-29	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-29	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-29	FILES/RAW_FILES/neg/B-29.raw	Data transformation	B-29	FILES/DERIVED_FILES/neg/B-29.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-30	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-30	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-30	FILES/RAW_FILES/neg/B-30.raw	Data transformation	B-30	FILES/DERIVED_FILES/neg/B-30.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-31	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-31	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-31	FILES/RAW_FILES/neg/B-31.raw	Data transformation	B-31	FILES/DERIVED_FILES/neg/B-31.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-32	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-32	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-32	FILES/RAW_FILES/neg/B-32.raw	Data transformation	B-32	FILES/DERIVED_FILES/neg/B-32.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-33	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-33	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-33	FILES/RAW_FILES/neg/B-33.raw	Data transformation	B-33	FILES/DERIVED_FILES/neg/B-33.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
