Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
B-1	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-1	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-1	FILES/RAW_FILES/neg/B-1.raw	Data transformation	B-1	FILES/DERIVED_FILES/neg/B-1.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-2	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-2	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-2	FILES/RAW_FILES/neg/B-2.raw	Data transformation	B-2	FILES/DERIVED_FILES/neg/B-2.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-3	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-3	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-3	FILES/RAW_FILES/neg/B-3.raw	Data transformation	B-3	FILES/DERIVED_FILES/neg/B-3.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-4	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-4	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-4	FILES/RAW_FILES/neg/B-4.raw	Data transformation	B-4	FILES/DERIVED_FILES/neg/B-4.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-5	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-5	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-5	FILES/RAW_FILES/neg/B-5.raw	Data transformation	B-5	FILES/DERIVED_FILES/neg/B-5.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-6	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-6	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-6	FILES/RAW_FILES/neg/B-6.raw	Data transformation	B-6	FILES/DERIVED_FILES/neg/B-6.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-7	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-7	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-7	FILES/RAW_FILES/neg/B-7.raw	Data transformation	B-7	FILES/DERIVED_FILES/neg/B-7.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-8	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-8	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-8	FILES/RAW_FILES/neg/B-8.raw	Data transformation	B-8	FILES/DERIVED_FILES/neg/B-8.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-9	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-9	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-9	FILES/RAW_FILES/neg/B-9.raw	Data transformation	B-9	FILES/DERIVED_FILES/neg/B-9.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
B-10	Extraction	"75% 9:1 methanol: chloroform, 25% H2O"	NA	B-10	Chromatography	Thermo Scientific Dionex UltiMate 3000 System	NA	NA	NA	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	81-1000	Thermo Scientific Q Exactive Focus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000659	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	B-10	FILES/RAW_FILES/neg/B-10.raw	Data transformation	B-10	FILES/DERIVED_FILES/neg/B-10.mzXML	Metabolite identification	NA	m_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
