Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
31	Extraction	NA	NA	31	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	31	NA	Data transformation	31	FILES/Lipidomic_COVID-19_ESI Negative/31_n.mzML	Metabolite identification	31	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
34	Extraction	NA	NA	34	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	34	NA	Data transformation	34	FILES/Lipidomic_COVID-19_ESI Negative/34_n.mzML	Metabolite identification	34	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
36	Extraction	NA	NA	36	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	36	NA	Data transformation	36	FILES/Lipidomic_COVID-19_ESI Negative/36_n.mzML	Metabolite identification	36	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
38	Extraction	NA	NA	38	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	38	NA	Data transformation	38	FILES/Lipidomic_COVID-19_ESI Negative/38_n.mzML	Metabolite identification	38	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
39	Extraction	NA	NA	39	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	39	NA	Data transformation	39	FILES/Lipidomic_COVID-19_ESI Negative/39_n.mzML	Metabolite identification	39	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
40	Extraction	NA	NA	40	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	40	NA	Data transformation	40	FILES/Lipidomic_COVID-19_ESI Negative/40_n.mzML	Metabolite identification	40	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
41	Extraction	NA	NA	41	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	41	NA	Data transformation	41	FILES/Lipidomic_COVID-19_ESI Negative/41_n.mzML	Metabolite identification	41	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
42	Extraction	NA	NA	42	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	42	NA	Data transformation	42	FILES/Lipidomic_COVID-19_ESI Negative/42_n.mzML	Metabolite identification	42	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
43	Extraction	NA	NA	43	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	43	NA	Data transformation	43	FILES/Lipidomic_COVID-19_ESI Negative/43_n.mzML	Metabolite identification	43	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
44	Extraction	NA	NA	44	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	44	NA	Data transformation	44	FILES/Lipidomic_COVID-19_ESI Negative/44_n.mzML	Metabolite identification	44	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
45	Extraction	NA	NA	45	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	45	NA	Data transformation	45	FILES/Lipidomic_COVID-19_ESI Negative/45_n.mzML	Metabolite identification	45	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
46	Extraction	NA	NA	46	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	46	NA	Data transformation	46	FILES/Lipidomic_COVID-19_ESI Negative/46_n.mzML	Metabolite identification	46	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
47	Extraction	NA	NA	47	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858	NA	Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	reverse phase	NA	NA	NA	NA	NA	Mass spectrometry	negative	80-1200	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000697	47	NA	Data transformation	47	FILES/Lipidomic_COVID-19_ESI Negative/47_n.mzML	Metabolite identification	47	m_MTBLS1866_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
