Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model 1]	Parameter Value[Column type 1]	Parameter Value[Guard column]	Parameter Value[Column model 2]	Parameter Value[Column type 2]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
138	Extraction	NA	sylilation	138	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	138	NA	Data transformation	138	FILES/COVID-19/138.mzML	Metabolite identification	138	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
9	Extraction	NA	sylilation	9	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	9	NA	Data transformation	9	FILES/COVID-19/9.mzML	Metabolite identification	9	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
139	Extraction	NA	sylilation	139	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	139	NA	Data transformation	139	FILES/COVID-19/139.mzML	Metabolite identification	139	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
94	Extraction	NA	sylilation	94	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	94	NA	Data transformation	94	FILES/COVID-19/94.mzML	Metabolite identification	94	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
14	Extraction	NA	sylilation	14	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	14	NA	Data transformation	14	FILES/COVID-19/14.mzML	Metabolite identification	14	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
95	Extraction	NA	sylilation	95	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	95	NA	Data transformation	95	FILES/COVID-19/95.mzML	Metabolite identification	95	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
18	Extraction	NA	sylilation	18	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	18	NA	Data transformation	18	FILES/COVID-19/18.mzML	Metabolite identification	18	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
97	Extraction	NA	sylilation	97	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	97	NA	Data transformation	97	FILES/COVID-19/97.mzML	Metabolite identification	97	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
2 POS	Extraction	NA	sylilation	2 POS	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	2 POS	NA	Data transformation	2 POS	FILES/COVID-19/2 POS.mzML	Metabolite identification	2 POS	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
98	Extraction	NA	sylilation	98	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	98	NA	Data transformation	98	FILES/COVID-19/98.mzML	Metabolite identification	98	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
20	Extraction	NA	sylilation	20	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	20	NA	Data transformation	20	FILES/COVID-19/20.mzML	Metabolite identification	20	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
24	Extraction	NA	sylilation	24	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	24	NA	Data transformation	24	FILES/COVID-19/24.mzML	Metabolite identification	24	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
26	Extraction	NA	sylilation	26	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	26	NA	Data transformation	26	FILES/COVID-19/26.mzML	Metabolite identification	26	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
CM POS	Extraction	NA	sylilation	CM POS	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	CM POS	NA	Data transformation	CM POS	FILES/COVID-19/CM POS.mzML	Metabolite identification	CM POS	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
27	Extraction	NA	sylilation	27	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	27	NA	Data transformation	27	FILES/COVID-19/27.mzML	Metabolite identification	27	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
IRA POS	Extraction	NA	sylilation	IRA POS	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	IRA POS	NA	Data transformation	IRA POS	FILES/COVID-19/IRA POS.mzML	Metabolite identification	IRA POS	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
3 POS	Extraction	NA	sylilation	3 POS	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	3 POS	NA	Data transformation	3 POS	FILES/COVID-19/3 POS.mzML	Metabolite identification	3 POS	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
POS 12	Extraction	NA	sylilation	POS 12	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	POS 12	NA	Data transformation	POS 12	FILES/COVID-19/POS 12.mzML	Metabolite identification	POS 12	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
31	Extraction	NA	sylilation	31	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	31	NA	Data transformation	31	FILES/COVID-19/31.mzML	Metabolite identification	31	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
34	Extraction	NA	sylilation	34	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	34	NA	Data transformation	34	FILES/COVID-19/34.mzML	Metabolite identification	34	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
POS 14	Extraction	NA	sylilation	POS 14	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	POS 14	NA	Data transformation	POS 14	FILES/COVID-19/POS 14.mzML	Metabolite identification	POS 14	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
36	Extraction	NA	sylilation	36	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	36	NA	Data transformation	36	FILES/COVID-19/36.mzML	Metabolite identification	36	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
POS 15	Extraction	NA	sylilation	POS 15	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	POS 15	NA	Data transformation	POS 15	FILES/COVID-19/POS 15.mzML	Metabolite identification	POS 15	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
38	Extraction	NA	sylilation	38	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	38	NA	Data transformation	38	FILES/COVID-19/38.mzML	Metabolite identification	38	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
POS 16	Extraction	NA	sylilation	POS 16	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	POS 16	NA	Data transformation	POS 16	FILES/COVID-19/POS 16.mzML	Metabolite identification	POS 16	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
39	Extraction	NA	sylilation	39	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	39	NA	Data transformation	39	FILES/COVID-19/39.mzML	Metabolite identification	39	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
POS 4	Extraction	NA	sylilation	POS 4	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	POS 4	NA	Data transformation	POS 4	FILES/COVID-19/POS 4.mzML	Metabolite identification	POS 4	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
4	Extraction	NA	sylilation	4	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	4	NA	Data transformation	4	FILES/COVID-19/4.mzML	Metabolite identification	4	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
POS 6	Extraction	NA	sylilation	POS 6	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	POS 6	NA	Data transformation	POS 6	FILES/COVID-19/POS 6.mzML	Metabolite identification	POS 6	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
40	Extraction	NA	sylilation	40	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	40	NA	Data transformation	40	FILES/COVID-19/40.mzML	Metabolite identification	40	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
POS 8	Extraction	NA	sylilation	POS 8	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	POS 8	NA	Data transformation	POS 8	FILES/COVID-19/POS 8.mzML	Metabolite identification	POS 8	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
POS 9	Extraction	NA	sylilation	POS 9	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	POS 9	NA	Data transformation	POS 9	FILES/COVID-19/POS 9.mzML	Metabolite identification	POS 9	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
42	Extraction	NA	sylilation	42	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	42	NA	Data transformation	42	FILES/COVID-19/42.mzML	Metabolite identification	42	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
RI POS	Extraction	NA	sylilation	RI POS	Chromatography	Agilent 7890B GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000933	CTC Analytics L-PAL3 Autosampler	Rxi-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity	NA	Rxi-17Sil MS (0.25 µm, 0.25 mm x 2 m; Restek)	medium polarity	NA	NA	NA	NA	Mass spectrometry	positive	25-550	LECO Pegasus BT 4D GCxGC-TOFMS	NA	NA	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	RI POS	NA	Data transformation	RI POS	FILES/COVID-19/RI POS.mzML	Metabolite identification	RI POS	m_MTBLS1866_GCxGC-MS_positive__metabolite_profiling_v2_maf.tsv
