"role","xcms_fts","rt","mz","adduct_inferred","file"
"parent",1,212.683,346.121525998551,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"parent",2,213.959,346.121734619141,"[M+H]+","pos_QC_3.mzXML"
"parent",3,212.767,346.121429443359,"[M+H]+","pos_QC_4.mzXML"
"parent",4,212.368,346.121612548828,"[M+H]+","pos_QC_5.mzXML"
"parent",5,202.59,346.121317253714,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"parent",6,208.984,346.121423776955,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"parent",7,203.828,346.121531502532,"[M+H]+","pos_inf_prog_10272_Male_72_267_R_A10.mzXML"
"parent",8,213.131,346.12168259103,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML"
"parent",9,202.241,346.121520996094,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML"
"parent",10,221.872,346.121551513672,"[M+H]+","pos_start_QC_2.mzXML"
"parent",11,221.208,346.121612548828,"[M+H]+","pos_start_QC_3.mzXML"
"parent",12,202.665,346.121551513672,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"metabolite",1,195.855,362.116311580717,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML"
"metabolite",2,200.486,362.116256651233,"[M+H]+","pos_QC_1.mzXML"
"metabolite",3,187.746,362.116346804233,"[M+H]+","pos_QC_12.mzXML"
"metabolite",4,197.985,362.116423950321,"[M+H]+","pos_QC_2.mzXML"
"metabolite",5,197.357,362.116484127891,"[M+H]+","pos_QC_3.mzXML"
"metabolite",6,196.4,362.116421744783,"[M+H]+","pos_QC_4.mzXML"
"metabolite",7,195.455,362.11665798812,"[M+H]+","pos_QC_5.mzXML"
"metabolite",8,193.635,362.11630138218,"[M+H]+","pos_QC_6.mzXML"
"metabolite",9,194.225,362.116261715505,"[M+H]+","pos_QC_7.mzXML"
"metabolite",10,184.283,362.116227548757,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML"
"metabolite",11,196.325,362.1162260186,"[M+H]+","pos_inf_non_7906_male_75_192_B_D8.mzXML"
"metabolite",12,194.764,362.116326959146,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML"
"metabolite",13,191.28,362.116253029732,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML"
"metabolite",14,196.435,362.116394811586,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML"
"metabolite",15,186.059,362.11638729247,"[M+H]+","pos_inf_prog_7582_male_59_192_B_B5.mzXML"
"metabolite",16,203.559,362.116516113281,"[M+H]+","pos_start_QC_2.mzXML"
"metabolite",17,203.835,362.11636160515,"[M+H]+","pos_start_QC_3.mzXML"
"metabolite",18,202.558,362.116494550916,"[M+H]+","pos_start_QC_4.mzXML"
"metabolite",19,201.778,362.116255144851,"[M+H]+","pos_start_QC_5.mzXML"
"metabolite",20,192.937,362.116380659964,"[M+H]+","pos_uninf_non_7631_male_50_192_B_B8.mzXML"
"metabolite",21,185.638,362.116434405053,"[M+H]+","pos_uninf_non_7682_female_61_192_B_C3.mzXML"
"metabolite",22,187.123,362.116455455858,"[M+H]+","pos_uninf_non_8570_male_53_192_B_H5.mzXML"
