"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file"
"MSV000092757","parent",1,1,0.971,1,0.992,-5.3,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MSV000092757","parent",5,1,0.947,1,1,-5.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MSV000092757","parent",6,1,0.986,1,0.984,-5.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MSV000092757","parent",7,1,0.914,1,1,-4.5,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MSV000092757","parent",8,1,0.92,1,0.984,-5.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MSV000092757","parent",4,3,0,1,0.936,-73.5,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",1,1,0.954,3,0.932,-25.5,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",2,1,0.783,3,0.924,-30.6,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",3,1,0.727,3,0.924,-31.5,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",4,1,0.86,3,0.924,-29.7,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",5,1,0.783,3,0.917,-29.7,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",6,1,0.796,3,0.909,-33.2,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",7,1,0.833,3,0.909,-33.4,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",8,1,0.87,3,0.924,-29.4,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",9,1,0.679,3,0.894,-38.2,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",11,1,0.79,3,0.932,-30.6,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",12,1,0.925,3,0.932,-25.2,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",13,1,0.98,3,0.932,-26,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",14,1,0.95,3,0.924,-25.4,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",16,1,0.877,3,0.917,-33.1,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",17,1,0.386,3,0.881,-45.6,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",18,1,0.962,3,0.924,-25.7,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",19,1,0.958,3,0.924,-26.8,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",20,1,0.968,3,0.924,-29.3,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",21,1,0.824,3,0.924,-26.2,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000092757","metabolite",22,1,0.962,3,0.924,-29.3,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000094097","parent",1,1,0.893,1,0.967,-28.6,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MSV000094097","parent",2,2,0.006,1,0.984,-10,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MSV000094097","metabolite",1,2,0.256,3,0.909,-31.9,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MSV000094097","metabolite",2,2,0.389,3,0.924,-34,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MTBLS11656","parent",1,1,0.521,1,0.915,-52.5,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS11656","parent",2,1,0.859,1,0.92,-55.3,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS11656","parent",3,2,0.306,1,0.967,-22.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS11656","metabolite",2,2,0.183,3,0.924,-31.4,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","parent",2,1,0.882,1,0.871,-50.1,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",3,1,0.984,1,0.96,-8.5,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",4,1,0.96,1,0.984,-6.8,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",5,1,0.953,1,0.984,-7.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",8,1,0.751,1,0.984,-8.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",9,1,0.77,1,0.984,-10,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",10,1,0.697,1,0.976,-11.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",11,1,0.786,1,0.992,-6.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",12,1,0.847,1,0.976,-15.4,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",13,1,0.805,1,0.96,-21.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"MTBLS1866","parent",15,1,0.925,1,0.984,-7.8,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
