"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file","source_file","chrom_type","assay","mz_theo","mz_ppm_dev"
"MSV000092754","metabolite",5,1,0.751,3,0.869,-51.7,"[M + H]+",NA,TRUE,"standard",246.777,362.116142380323,"[M+H]+","pos_NA_8990_NA_NA_193_G_B5.mzXML","pos_NA_8990_NA_NA_193_G_B5.mzXML","Unknown","MSV000092754",362.116903088,-2.10072402172233
"MSV000092754","metabolite",7,1,0.866,3,0.932,-24.9,"[M + H]+",NA,TRUE,"standard",199.552,362.116280132345,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML","pos_inf_non_7009_Female_64_267_R_B7.mzXML","Unknown","MSV000092754",362.116903088,-1.72031642178913
"MSV000092754","metabolite",8,1,0.988,3,0.895,-34.4,"[M + H]+",NA,TRUE,"standard",231.989,362.115938052624,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML","pos_inf_non_7009_Female_64_267_R_B7.mzXML","Unknown","MSV000092754",362.116903088,-2.66498295928344
"MSV000092754","metabolite",9,1,0.957,3,0.861,-85.1,"[M + H]+",NA,TRUE,"standard",242.7,362.116190159506,"[M+H]+","pos_inf_non_7009_Female_64_267_R_B7.mzXML","pos_inf_non_7009_Female_64_267_R_B7.mzXML","Unknown","MSV000092754",362.116903088,-1.96877993800074
"MSV000092754","metabolite",10,1,0.925,3,0.932,-25.2,"[M + H]+",NA,TRUE,"standard",194.764,362.116326959146,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML","pos_inf_non_8263_male_54_192_B_F9.mzXML","Unknown","MSV000092754",362.116903088,-1.59100237818209
"MSV000092754","metabolite",12,1,0.828,3,0.869,-78.2,"[M + H]+",NA,TRUE,"standard",246.456,362.116157028898,"[M+H]+","pos_inf_non_8263_male_54_192_B_F9.mzXML","pos_inf_non_8263_male_54_192_B_F9.mzXML","Unknown","MSV000092754",362.116903088,-2.06027140866806
"MSV000092754","metabolite",13,1,0.98,3,0.932,-26,"[M + H]+",NA,TRUE,"standard",191.28,362.116253029732,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","Unknown","MSV000092754",362.116903088,-1.79516134842791
"MSV000092754","metabolite",14,1,0.769,3,0.924,-28.2,"[M + H]+",NA,TRUE,"standard",204.356,362.116475374369,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","Unknown","MSV000092754",362.116903088,-1.18114793149195
"MSV000092754","metabolite",15,1,0.942,3,0.902,-38.3,"[M + H]+",NA,TRUE,"standard",234.11,362.116177809733,"[M+H]+","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","pos_inf_prog_10145_Female_73_267_R_A7.mzXML","Unknown","MSV000092754",362.116903088,-2.00288431943681
"MSV000092754","metabolite",17,1,0.95,3,0.924,-25.4,"[M + H]+",NA,TRUE,"standard",196.435,362.116394811586,"[M+H]+","pos_inf_prog_7107_Male_58_267_R_A2.mzXML","pos_inf_prog_7107_Male_58_267_R_A2.mzXML","Unknown","MSV000092754",362.116903088,-1.40362520959737
