"role","xcms_fts","rt","mz","adduct_inferred","file"
"parent",1,249.026,346.121944834735,"[M+H]+","Urine_NGS098_FragPos.mzML"
"parent",2,240.979,346.122196634463,"[M+H]+","Urine_NGS124_FragPos.mzML"
"metabolite",1,337.392,362.116630432207,"[M+H]+","Urine_NGS017_FragPos.mzML"
"metabolite",2,294.646,362.116634202338,"[M+H]+","Urine_NGS030_FragPos.mzML"
"metabolite",3,256.278,362.11674852524,"[M+H]+","Urine_NGS056_FragPos.mzML"
"metabolite",4,264.953,362.116678205845,"[M+H]+","Urine_NGS093_FragPos.mzML"
"metabolite",5,309.541,362.116653003535,"[M+H]+","Urine_NGS098_FragPos.mzML"
"metabolite",6,260.882,362.12,"[M+H]+","Urine_NGS110_FragPos.mzML"
"metabolite",7,292.566,362.116859665227,"[M+H]+","Urine_NGS124_FragPos.mzML"
"metabolite",8,268.586,362.12,"[M+H]+","Urine_NGS128_FragPos.mzML"
"metabolite",9,289.752,362.116723025202,"[M+H]+","Urine_NGS135_FragPos.mzML"
"metabolite",10,305.554,362.11665276094,"[M+H]+","Urine_NGS142_FragPos.mzML"
